NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81
2014,298,10005,10028,2001,89380,0,4113700,41,4,35,F,1999,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,ADBBBCAD,10010101.0,CACCECEDEBBABACBAEBCDDDCCCB,001119009010011091011910911,555,555,555,555,555,555,555,555,555,555,555,50.3,53.2,50.0,58.0,50.0,90.0,40.0,66.0,70.0,65.0,49.3,54.5,20.0,10.0,20.0,30.0,D,E,B,C,E,D,A,B,D,C,C,A,A,B,B,H,B,E,E,C,A,A,A,B,35.0,A,C,A,B,B,D,D,E,H,E,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,4.0,4.0,6.0,1.0,3.0,5.0,1.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,A,J,C,A,A,A,B,A,C,A,A,A,A
2014,409,10001,10028,904,8416,1,2611101,26,2,25,F,2006,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,EACBBBDDBCDACCBBADABDCDEDCB,EACBBBDDBCDAXXXBADXBDCDEXCB,ACEBBACD,11110001.0,ECCABBADBABDEBDBACDBAACECBD,101011011000999110910001900,555,555,555,555,555,555,555,555,555,555,555,45.4,57.9,62.5,51.0,39.0,75.0,30.0,63.0,75.0,60.0,41.2,45.5,16.7,0.0,10.0,40.0,C,C,C,A,A,B,D,D,C,A,A,A,B,B,B,D,A,B,A,A,A,A,A,A,29.0,D,A,B,G,B,E,C,E,H,A,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,3.0,6.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,6.0,C,I,H,B,A,B,D,D,E,B,B,B,B
2014,137,10008,10028,1502,85456,1,3506003,35,3,23,M,2009,2010,2,0,0,1,1,1,0,8,0,0,0,27,0,7,0,ACEBDCED,ACEBDCED,BCBDDDECEEABCACDABDAEADEDCB,BXXXDDECEXXBCACXABDAEADEXCB,DDEBDCDD,111101.0,DEBACDCEACBBCBCEBBDBEADBCEB,099901000991101901101110901,555,555,555,555,555,333,555,555,333,333,333,46.7,59.1,62.5,54.0,58.0,70.0,55.0,50.0,50.0,50.0,42.5,50.0,0.0,0.0,0.0,0.0,D,D,C,B,B,D,A,D,B,A,C,A,E,D,B,F,D,B,B,B,A,F,A,A,35.0,E,A,A,K,A,B,E,E,E,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,1.0,6.0,1.0,6.0,5.0,6.0,6.0,6.0,1.0,1.0,4.0,5.0,6.0,6.0,6.0,1.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,A,A,B,E,A,A,D,E,B,B,B,A,A
2014,671,10005,10028,2001,87280,0,5002704,50,5,49,F,1987,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,EDDCBEED,11.0,EDCCEADABEBDACABAEBCBEDCCEB,011119019111100091010910901,555,555,555,555,555,555,555,555,555,555,555,52.6,48.2,25.0,83.0,73.0,65.0,75.0,93.0,65.0,100.0,54.0,59.1,25.0,40.0,15.0,20.0,D,D,B,D,C,D,B,D,D,B,A,A,B,B,C,D,E,F,D,H,F,F,A,A,41.0,A,C,A,A,A,E,E,B,E,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,A,J,A,A,A,B,B,C,A,B,B,A,A
2014,1028,10001,10028,2001,113052,1,5002704,50,5,36,F,1998,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,ACEBCCCD,11110101.0,DDCAECEAAEBAACEABEECDBDCEEB,111019019110100191011910901,555,555,555,555,555,555,555,555,555,555,555,58.4,54.6,75.0,24.0,25.0,65.0,15.0,23.0,55.0,15.0,59.6,63.6,36.7,50.0,30.0,30.0,C,C,B,A,A,B,B,D,C,B,A,A,A,A,C,C,C,E,D,A,A,A,A,D,50.0,A,C,B,C,B,C,C,E,E,A,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,5.0,1.0,1.0,8.0,6.0,5.0,6.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,8.0,6.0,6.0,2.0,A,A,A,A,A,A,A,B,A,B,A,A,B
2014,526,10005,10028,2001,117588,0,3530607,35,3,35,F,1998,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,ADEEBCED,10100111.0,ECCCEBCADEBDACEBCEAEDDDABCD,001119119111100091101910910,555,555,555,555,555,555,555,555,555,555,555,56.5,62.3,62.5,62.0,43.0,55.0,40.0,81.0,85.0,80.0,54.6,63.6,3.3,10.0,0.0,0.0,C,C,C,A,A,C,B,D,D,E,C,A,A,A,C,D,C,E,E,B,A,A,A,A,35.0,A,C,C,G,B,B,B,E,A,C,5.0,5.0,5.0,5.0,6.0,3.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,8.0,3.0,8.0,7.0,7.0,4.0,5.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,1.0,3.0,A,B,E,A,A,D,A,D,C,B,B,C,B
2014,18440,93,10028,2001,104630,1,1504208,15,1,40,F,1993,2010,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,DBBBDEAD,11001.0,ABCCCBCABEEEAAABCDCBBBCCCDA,001109119100110090000900900,555,555,555,555,555,555,555,555,555,555,555,34.3,34.3,37.5,29.5,47.0,75.0,40.0,12.0,60.0,0.0,34.3,31.8,48.3,40.0,35.0,70.0,D,C,C,C,C,D,B,B,D,A,C,A,B,B,B,C,A,B,A,A,E,A,A,D,15.0,A,B,F,H,A,D,B,D,H,F,4.0,4.0,5.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,7.0,7.0,2.0,7.0,7.0,A,E,G,B,A,A,B,A,A,B,C,B,B
2014,2491,10008,10022,2001,100388,1,5300108,53,5,33,F,2010,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,DCEBBCDD,1110101.0,DBCCBACE.EBAAACBAEACDBDEBCB,101109109110111091111911911,555,555,555,555,555,555,555,555,333,555,333,66.9,65.1,62.5,69.0,69.0,65.0,70.0,69.0,85.0,65.0,67.5,77.3,11.7,0.0,35.0,0.0,C,C,B,B,B,C,B,D,E,A,B,A,B,B,B,B,B,E,E,I,A,A,A,A,53.0,A,A,A,E,A,B,D,E,H,C,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,2.0,2.0,4.0,8.0,6.0,4.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,2.0,2.0,2.0,1.0,6.0,6.0,5.0,3.0,B,J,B,A,D,B,A,B,A,B,B,B,B
2014,634,10002,10028,906,1102186,1,4314407,43,4,37,F,1994,2011,2,0,1,0,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,BEAACDEEECDDCEEBCACAAEDEDCB,XEAACDEEEXXDCEEBCACAXEDEXCB,AEDBDACC,10011000.0,EEAAEDCEBEAEEACCDDCCCDDDCCC,911101010990000000109010910,555,555,555,333,555,555,333,333,333,333,555,29.9,22.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,36.4,10.0,0.0,0.0,30.0,C,D,A,D,D,D,B,B,E,B,A,A,B,D,D,E,A,A,A,A,E,C,A,A,43.0,A,B,A,B,B,D,D,A,A,A,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,A,F,I,I,A,C,D,A,A,B,C,A,A
2014,1491,10005,10020,2001,98892,0,4106902,41,4,24,F,2007,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,ACEBDCED,ACEBDCED,DDCCEBCACEBDAACABEACDBDEDCB,DDCCEXCAXEBDAACAXEACDXDEXCB,ACABDCDD,11011101.0,DDCCEACADCCBAAEBBEDCBBBCAAC,111119119000110091010900900,555,555,555,555,555,555,555,555,555,555,555,51.8,69.2,75.0,60.5,82.0,50.0,90.0,39.0,75.0,30.0,46.0,50.0,23.3,20.0,0.0,50.0,.,.,.,.,.,.,.,.,.,A,A,A,A,A,B,G,C,C,A,B,A,A,A,A,41.0,A,A,B,A,A,B,B,E,E,C,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,3.0,5.0,A,B,G,A,A,A,B,A,B,A,B,A,A
