NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2015,1028,10001,10028,1,113045,1,5006606,50,5,21,M,2010,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,CCABDDCC,1111110.0,DDADBDECEBCEAEABAEEEBEAEADA,011000010091001191100000001,555,555,555,555,555,555,555,555,555,555,555,47.0,70.0,75.0,62.5,65.0,85.0,60.0,60.0,60.0,60.0,39.3,36.0,58.3,90.0,15.0,70.0,C,D,C,B,B,B,B,D,C,A,A,A,E,C,B,C,E,B,A,A,A,B,A,A,50.0,B,A,A,B,A,A,B,E,A,A,5.0,4.0,3.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,6.0,5.0,2.0,2.0,6.0,5.0,5.0,6.0,6.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0
2015,569,10002,10028,1,115174,0,1501402,15,1,29,F,2010,2011,2,0,0,1,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,ACADDDEE,11101101.0,DDACEDAAABAECEAAAAEBCCCBBBA,011000100091101090100010101,555,555,555,555,555,555,555,555,555,555,333,47.1,75.0,75.0,75.0,70.0,70.0,70.0,80.0,80.0,80.0,37.8,40.0,25.0,30.0,45.0,0.0,C,C,C,B,B,C,B,D,C,B,C,A,C,B,C,D,D,B,A,A,A,F,A,A,15.0,A,A,B,C,A,C,C,E,A,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,2.0
2015,671,10005,10028,86,107014,0,5002704,50,5,49,F,2004,2014,2,0,0,1,1,1,0,8,0,0,0,27,2,4,0,ACABDDCE,ACABDDCE,BAZDDDECDACBZCBDDBAEABEEBDE,BAZXDDECDACXZCBDDBXEABXEBDE,ADEBAEAD,10010000.0,DCEBCAAECDDDBAEDAEDDDCCBACD,008900000009800100900090000,555,555,555,555,555,555,555,555,555,555,333,15.4,40.2,25.0,63.0,68.0,60.0,70.0,58.0,50.0,60.0,7.1,4.8,20.0,20.0,40.0,0.0,C,D,A,A,A,C,B,D,D,B,A,A,B,B,C,B,B,D,E,B,A,A,A,A,21.0,A,A,A,A,B,B,B,E,F,B,6.0,7.0,6.0,5.0,5.0,6.0,4.0,3.0,5.0,5.0,6.0,4.0,2.0,1.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,7.0,5.0,1.0,1.0,6.0,6.0,1.0,1.0,6.0,1.0,6.0,6.0,7.0,7.0,6.0,6.0,3.0,6.0,6.0
2015,338,121,10028,18,31662,1,3106200,31,3,22,F,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,1,5,0,ACABDDCE,ACABDDCE,DDAACDEBDCEAABDECCCDADEBZCE,XDAXCXEBXCEAABDXCCCDADEBZCE,EDABDDBE,111101.0,BDABBEECBCEACEDACBCBBCEDECE,911909109111001910100010811,555,555,555,555,555,555,555,555,555,555,555,57.8,66.9,62.5,73.5,86.0,70.0,90.0,61.0,65.0,60.0,54.8,57.1,41.7,50.0,30.0,45.0,B,C,B,B,D,A,D,B,B,A,A,A,E,E,B,E,G,C,C,B,A,B,F,A,31.0,F,A,A,A,A,C,C,E,E,F,6.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,6.0,3.0,3.0,1.0,5.0,5.0,4.0,6.0,5.0,1.0,1.0,4.0,5.0,3.0,5.0,6.0,4.0,1.0,2.0,2.0,2.0,6.0,2.0,5.0,3.0,3.0
2015,322,10008,10028,86,100324,0,3550308,35,3,52,F,1979,2014,2,1,0,0,1,1,0,8,0,0,0,27,2,4,0,ACABDDCE,ACABDDCE,BAZDDDECDACBZCBDDBAEABEEBDE,BAZXDDECDACXZCBDDBXEABXEBDE,BAAAABCB,100010.0,ABBCBBBAAAAAABBBBABBBBDBAA.,008900000109801000900190000,555,555,555,555,555,333,555,555,333,333,333,19.4,41.0,25.0,65.0,69.0,65.0,70.0,61.0,65.0,60.0,12.2,14.3,0.0,0.0,0.0,0.0,A,C,A,C,A,A,A,B,B,A,C,A,B,D,B,F,A,E,B,B,C,A,A,A,15.0,B,C,B,C,A,B,B,E,A,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2015,316,10008,10028,1,111968,1,3550308,35,3,32,F,2003,2012,2,1,0,0,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,ACABDDDE,11111101.0,CDACBDCADCAEAAABACBCDEACECA,011000001091001190011000001,555,555,555,555,555,555,555,555,555,555,555,50.4,82.7,87.5,75.5,71.0,75.0,70.0,80.0,80.0,80.0,39.6,36.0,60.0,30.0,80.0,70.0,D,D,C,B,B,C,E,D,D,B,A,A,B,B,B,F,E,E,E,B,A,A,A,A,35.0,D,A,B,C,A,C,C,D,C,E,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2015,298,10005,10028,1,97980,0,4113700,41,4,21,M,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,ADABCBACDAEECDABEEECDDCDBEA,ADABCBACDAXECDABXEECDDCDBEA,CCDCEDDE,1000101.0,EAACCBEADAEDADAAACCECDECAED,001011001190011090000100010,555,555,555,555,555,555,555,555,555,555,555,34.3,34.9,37.5,31.0,31.0,35.0,30.0,31.0,75.0,20.0,34.1,36.0,23.3,35.0,0.0,35.0,E,E,B,D,D,D,B,C,B,A,A,A,B,B,B,D,B,C,B,B,A,A,A,A,31.0,A,A,B,A,B,E,B,E,B,B,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,1.0,8.0,5.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,8.0,8.0,7.0,5.0,1.0,5.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2015,2194,10005,10022,18,99604,1,4315602,43,4,32,F,2004,2011,2,0,0,1,1,1,0,8,0,0,0,27,1,5,0,ACABDDCE,ACABDDCE,DDAACDEBDCEAABDECCCDADEBZCE,XDAXCXEBXCEAABDXCCCDADEBZCE,BDABDDCE,111111.0,DDABDEACBCABBECAACCBEDEBEEC,911909009100000901100111800,555,555,555,555,555,555,555,555,333,555,555,47.7,79.4,75.0,86.0,90.0,90.0,90.0,82.0,90.0,80.0,37.1,38.1,31.7,0.0,30.0,65.0,B,C,B,B,C,C,B,D,C,E,A,A,D,D,C,C,C,C,E,H,A,A,A,A,43.0,A,A,G,C,A,E,C,E,H,H,4.0,5.0,4.0,3.0,2.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,3.0,5.0,3.0,1.0,1.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0
2015,1472,10005,10020,86,1170317,0,4207502,42,4,44,F,1990,2013,2,0,0,1,1,1,0,8,0,0,0,27,2,4,0,ACABDDCE,ACABDDCE,BAZDDDECDACBZCBDDBAEABEEBDE,BAZXDDECDACXZCBDDBXEABXEBDE,ADCBDDBD,10011100.0,BDABDDACDACBBCADBBBAEBECBDA,108911011119810101900190110,555,555,555,555,555,555,555,555,555,555,555,56.4,54.2,50.0,60.5,73.0,85.0,70.0,48.0,80.0,40.0,57.1,61.9,30.0,0.0,20.0,70.0,C,C,B,B,C,C,E,D,E,C,A,A,B,B,B,C,B,F,D,B,A,A,A,A,42.0,A,B,A,E,B,B,B,E,C,C,5.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,8.0,6.0,8.0,8.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,1.0,2.0,8.0,2.0,4.0,6.0,6.0,6.0
2015,146,10005,10020,2,4672,1,3549805,35,3,22,F,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,1,3,0,ACABDDCE,ACABDDCE,AABEDEDEECBADBBCDZCABBCAEDD,AABEDEDEXXBADBBCDZXABBCAEDD,BCAADDDD,1101100.0,CABBDEDEDEAACBBCDBDCBDECEEB,011011119901011118901000100,555,555,555,555,555,555,555,555,555,555,555,58.5,63.0,50.0,82.5,88.0,80.0,90.0,77.0,65.0,80.0,57.0,56.5,60.0,80.0,65.0,35.0,C,C,B,B,A,C,B,E,D,A,C,A,D,D,A,A,B,B,A,E,A,A,A,B,31.0,A,A,B,C,B,C,B,E,E,C,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,6.0,1.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,2.0,5.0
2015,3012,10008,10022,101,67907,1,3529005,35,3,32,M,2000,2015,2,1,0,0,1,1,0,8,0,0,0,27,0,2,0,ACABDDCE,ACABDDCE,EBEBEACABCDAECBCEBDADADABCC,EBEBEACXBCDAECBCEBDADADABXC,ACABDDCC,11111110.0,EBABEACADABAECBCCADADBAAADD,110111190001111100111001090,555,555,555,555,555,555,555,555,555,555,555,69.7,86.3,87.5,84.5,88.0,80.0,90.0,81.0,85.0,80.0,64.2,60.0,88.3,65.0,100.0,100.0,C,C,B,B,B,B,D,D,C,A,A,A,D,F,A,A,E,E,E,B,A,F,A,A,35.0,A,A,B,F,A,E,D,E,E,I,5.0,5.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,6.0,6.0,5.0,4.0,6.0
2015,242,10005,10020,22,113183,1,3547809,35,3,22,M,2011,2012,2,0,0,1,1,1,0,8,0,0,0,27,1,6,0,ACABDDCE,ACABDDCE,AEDABEEBCACEDDBECCCCDAECBAZ,AEDABEEXXACEDDBECXCXXXECBAZ,ABDBEDCD,10010110.0,CBDEBCDDBACEDDBEDBCADBBABCD,001010099111111109199900108,555,555,555,333,555,555,333,333,555,333,555,44.5,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3,55.0,16.7,0.0,0.0,50.0,C,C,C,B,B,B,B,B,B,B,C,A,D,D,C,C,D,E,E,F,A,A,A,C,35.0,A,A,A,A,B,B,B,E,C,C,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
