NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2018,922,10007,10022,2,57544,1,3514403,35,3,41,M,1995,2014.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,CACBBBBE,11110101.0,ECBBDAEBCDDABBEEABBDEBBCDAB,090011010990099109009119000,555,555,555,555,555,555,555,555,555,333,333,"37,9","66,4",75,"53,5",79.0,55.0,85.0,28.0,60.0,20.0,"28,4","31,6",10,30.0,0.0,0.0,D,D,C,B,B,C,B,D,D,B,A,A,B,D,C,D,E,E,E,E,A,A,A,C,35.0,A,A,B,C,A,B,C,E,A,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0
2018,18492,115,10028,13,8764,1,4104303,41,4,25,F,2010,2013.0,4.0,0,0,8,0,0,0,27,0,4,0,CACBEBDE,CACBEBDE,CDDBDADAEDBCCECBCEBACBACEEB,CDDBDADAEDBCXEXBCEBAXBACXEB,CACDEBDE,11101111.0,BADACBBBECDDEADABEDEBCDCBDB,001000001000909001009001901,555,555,555,555,555,333,555,555,333,333,333,"29,4","62,5","87,5",25,36.0,60.0,30.0,14.0,70.0,0.0,"18,4","21,7",0,0.0,0.0,0.0,B,D,C,B,D,D,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12.0,A,A,A,A,A,A,A,A,A,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,1113,10008,10020,2,120558,1,5300108,53,5,24,F,2012,2015.0,4.0,0,0,8,0,0,0,27,0,8,0,CACBEBDE,CACBEBDE,CCAADADBECCDEDBECDAEBBBDBCE,CXAADADBEXXDEXXECXAEXBBXBCE,DDEBDDDE,10011.0,CADACCDADDADEBEEDDACDCBBBEE,190100100991199109109019101,555,555,555,555,555,555,555,555,555,333,555,"45,2","36,9","37,5",36,39.0,75.0,30.0,33.0,65.0,25.0,48,"52,6","21,7",30.0,0.0,35.0,C,C,B,B,B,C,A,D,D,A,D,A,C,B,B,E,A,D,E,C,A,A,A,D,53.0,A,A,A,C,A,C,B,E,A,A,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,6.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,6.0,6.0,4.0
2018,19,10008,10028,13,1652,1,3509502,35,3,24,M,2012,2015.0,4.0,0,0,8,0,0,0,27,0,4,0,CACBEBDE,CACBEBDE,CDDBDADAEDBCCECBCEBACBACEEB,CDDBDADAEDBCXEXBCEBAXBACXEB,CACBEDDD,11111010.0,BBCDAEDBDCBCCEDCBCBAACCDAAB,000000100011919000119000901,555,555,555,555,555,555,333,555,555,333,333,"31,5","48,4",75,"8,5",0.0,0.0,0.0,17.0,45.0,10.0,"25,8","30,4",0,0.0,0.0,0.0,C,D,C,B,B,B,A,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12.0,A,A,A,A,A,A,A,A,A,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,298,10005,10028,22,97982,2,4113700,41,4,39,F,1997,2015.0,4.0,0,0,8,0,0,0,27,2,9,0,CACBEBDE,CACBEBDE,DAEBDCACCEBADDCAZZDCEBEDBAB,XXEXXCACCEBADXCAZZXXEBXDBXB,BDAEADCD,0.0,ABEBAEECCBEDECCAADCBECACEED,991990011000091188991090090,555,555,555,555,555,555,555,555,555,555,555,"29,1","17,6",0,44,42.0,50.0,40.0,46.0,50.0,45.0,"32,9","37,5","6,7",20.0,0.0,0.0,C,D,A,D,D,D,D,C,B,E,A,A,D,D,C,E,B,F,E,B,A,A,A,A,43.0,E,B,A,A,B,B,B,E,C,E,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0
2018,3618,10005,10022,1,86632,1,3513009,35,3,24,M,2012,2015.0,4.0,0,0,8,0,0,0,27,1,8,0,CACBEBDE,CACBEBDE,ADBBDEDCEEDCAEZADBCBDABECBB,XXBXDEDXEEDCAEZADBCBXAXECXX,BCCAACDD,100010.0,BBCDBACEACCDBBCCAADBECCCABD,990900090000008000019090099,555,555,555,555,555,555,555,555,555,555,555,11,"26,4",25,"28,5",16.0,40.0,10.0,41.0,65.0,35.0,"5,8","5,6","6,7",0.0,20.0,0.0,C,D,C,A,B,D,A,A,B,A,A,A,C,C,B,B,C,C,D,B,A,A,A,A,35.0,A,A,B,C,A,B,A,E,A,C,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,2.0,6.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0
2018,1456,118,10022,22,116436,1,3551702,35,3,34,F,2004,2015.0,4.0,0,0,8,0,0,0,27,2,9,0,CACBEBDE,CACBEBDE,DAEBDCACCEBADDCAZZDCEBEDBAB,XXEXXCACCEBADXCAZZXXEBXDBXB,BADBEEEE,1011001.0,ABCBCAACCDDDDCEAADAEBADBDAA,990990111000190188990090090,555,555,555,555,555,555,555,555,333,333,555,"34,6","58,4",50,71,60.0,80.0,55.0,82.0,70.0,85.0,"26,6","31,3",0,0.0,0.0,0.0,C,D,B,B,B,C,B,C,D,A,D,A,B,B,B,B,A,F,E,J,A,A,E,A,35.0,A,A,F,G,B,C,B,C,C,C,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2018,374,118,10020,84,96236,1,3550308,35,3,22,M,2013,2017.0,4.0,0,0,8,0,0,0,27,0,4,0,CACBEBDE,CACBEBDE,DEEDABBCDBCECCEBDCBAAEBCDDB,XEEDABBCDBCECCEXDXBAAEBCDDX,BACCEBDE,1101111.0,AEECADECBACACCDADEBAAEDCDEA,911010010010110919111101109,555,555,555,555,555,555,555,555,555,555,555,"61,3","63,8",75,47,42.0,90.0,30.0,52.0,80.0,45.0,"60,5","60,9","58,3",40.0,70.0,65.0,C,D,B,B,C,C,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12.0,A,A,A,A,A,A,A,A,A,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,3649,10005,10022,22,85142,1,4115200,41,4,31,F,2005,2015.0,4.0,0,0,8,0,0,0,27,2,9,0,CACBEBDE,CACBEBDE,DAEBDCACCEBADDCAZZDCEBEDBAB,XXEXXCACCEBADXCAZZXXEBXDBXB,AAEAEBDA,1001110.0,AAEADAACCECDECEACDCEDBEDDAE,991990111100090188990191090,555,555,555,555,555,555,555,555,555,333,333,"43,8","44,6",50,"36,5",37.0,65.0,30.0,36.0,40.0,35.0,"43,5",50,"6,7",20.0,0.0,0.0,D,E,A,B,B,B,E,C,D,A,A,A,B,B,B,E,E,E,E,B,A,A,A,A,41.0,A,A,B,C,A,A,C,A,A,D,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2018,374,118,10020,18,7942,1,3550308,35,3,32,M,2004,2014.0,4.0,0,0,8,0,0,0,27,0,3,0,CACBEBDE,CACBEBDE,DCEEDBABDEDEAADADAECADEEBAC,XCEEDBXBDEDEAADADAECADEEXAC,CBACBADE,10000011.0,CCEEDBBBAEBBACDDCADABBCCBCC,911111910100101001000000901,555,555,555,555,555,555,555,555,555,555,555,"42,3","38,9","37,5",41,39.0,75.0,30.0,43.0,75.0,35.0,"43,4","45,8",30,40.0,0.0,50.0,C,C,B,A,B,C,B,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,12.0,A,A,A,A,A,A,A,A,A,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
