NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,IN_GRAD,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2016,823,10008,10028,38,102686,1,2111300,21,2,22,F,2012,2013,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,ABDDADEC,101.0,CADBEDBCBDAEEADBBABDADECACD,099080111811008100000811909,555,555,555,555,555,555,555,555,555,555,555,40.8,48.4,25.0,83.5,82.0,50.0,90.0,85.0,65.0,90.0,38.3,42.1,16.7,0.0,0.0,50.0,C,D,E,C,D,D,.,.,E,B,A,A,D,C,C,B,B,C,C,B,A,A,A,A,21.0,B,A,B,C,A,B,B,A,H,F,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,1196,10006,10020,3501,97647,1,4115200,41,4,24,M,2015,2016,2,0,0,1,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,BCBABDZAEBAZEABBCACCDADADCD,BCBABXZAEBAZEABBCACCDADADCD,DACBBDBC,1010101.0,BABABACABDACBEBBCAECEEAACCB,101119810018001111010001010,555,555,555,555,555,555,555,555,555,333,555,50.3,55.4,50.0,63.5,63.0,75.0,60.0,64.0,80.0,60.0,48.6,54.2,16.7,0.0,0.0,50.0,C,C,C,B,B,C,B,A,D,A,A,A,C,B,B,E,C,C,D,E,A,A,A,A,41.0,A,A,F,C,B,B,B,E,E,F,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0
2016,298,10005,10028,38,97990,0,4113700,41,4,48,F,2012,2013,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,CCCABBEC,10000001.0,ABADEEEAAEBAEACCECAECCEDEDA,099080000800008001110810909,555,555,555,555,555,555,555,555,336,336,555,20.9,29.8,25.0,37.0,53.0,25.0,60.0,21.0,65.0,10.0,17.9,21.1,0.0,0.0,0.0,0.0,D,C,B,C,C,D,B,D,D,C,D,A,A,A,B,E,B,B,A,B,A,A,A,A,32.0,A,D,C,A,A,E,E,A,E,C,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,3.0,5.0,6.0,6.0,4.0,2.0,3.0,6.0,3.0,3.0,2.0,2.0,4.0,5.0,6.0,6.0,6.0,1.0,2.0,4.0,5.0,2.0,4.0,6.0,5.0,4.0,3.0,5.0,3.0,5.0,6.0,5.0,4.0,6.0
2016,11429,10005,10022,6,1024230,1,4314100,43,4,39,F,1994,2013,2,1,1,1,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,BDCDAEDBCCCECEEBAADAEADDABC,BDCXXEDBXCCECEEBAAXAEADDABC,CBBDBDDA,10000100.0,BDCABEEEECCECDEAAACEECBDABE,111991009111101011901001110,555,555,555,555,555,555,555,555,555,555,555,59.2,43.6,25.0,71.5,77.0,65.0,80.0,66.0,90.0,60.0,64.4,65.2,60.0,70.0,30.0,80.0,D,C,C,C,B,C,B,D,D,A,D,A,B,A,C,B,A,B,A,E,A,A,A,A,43.0,A,A,F,J,B,E,D,E,C,H,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,277,10008,10020,3501,1185746,1,3304557,33,3,24,F,2010,2015,2,0,0,1,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,BCBABDZAEBAZEABBCACCDADADCD,BCBABXZAEBAZEABBCACCDADADCD,CCCBCBCB,10011000.0,ACBABCACBDDBBEBCBCCDECBBECD,011119800008001000100000011,555,555,555,333,555,333,333,333,333,333,333,26.9,22.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,33.3,0.0,0.0,0.0,0.0,C,E,A,C,C,E,D,C,B,A,D,A,B,B,B,E,B,C,C,B,A,A,A,A,33.0,B,C,D,A,B,A,A,E,A,C,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016,176,10008,10028,23,66349,1,3304557,33,3,29,F,2003,2013,2,0,0,1,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,CBEDADAB,10100110.0,DCCADBAEAEBCAEABECDDCB*EEAB,101909110001191001191109000,555,555,555,555,555,555,555,555,555,555,555,53.3,56.2,50.0,65.5,76.0,60.0,80.0,55.0,75.0,50.0,52.3,50.0,65.0,60.0,60.0,75.0,D,D,C,B,B,C,B,D,C,A,A,A,B,B,D,C,F,D,E,B,A,A,A,A,33.0,B,B,B,K,A,B,E,D,H,D,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016,634,10002,10028,23,14980,1,4314407,43,4,23,M,2011,2012,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,CEAADDCE,10000100.0,BECBDEEADBDCABBBAEABEBBDDBD,001909000001190000090109010,555,555,555,555,555,555,555,555,555,555,555,29.7,38.4,25.0,58.5,80.0,80.0,80.0,37.0,65.0,30.0,26.8,22.7,50.0,50.0,40.0,60.0,C,C,A,C,C,C,D,D,C,A,A,A,D,C,B,B,B,B,A,A,A,A,A,A,43.0,A,A,B,A,A,B,B,E,E,A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,1472,10005,10020,38,111730,0,4207502,42,4,42,F,2003,2012,2,0,0,1,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,EBBAADED,100.0,DADBEECCDEDBCAADEDACBCBBEEB,199080010800108000100800919,555,555,555,555,555,555,555,555,555,555,555,24.0,28.7,12.5,53.0,58.0,50.0,60.0,48.0,40.0,50.0,22.4,26.3,0.0,0.0,0.0,0.0,D,D,A,A,D,B,B,C,B,B,D,A,B,B,C,D,E,E,D,B,A,A,A,A,41.0,A,A,C,K,A,C,B,E,C,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,780,118,10028,3501,118380,1,5103403,51,5,20,M,2012,2013,2,1,0,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,BCBABDZAEBAZEABBCACCDADADCD,BCBABXZAEBAZEABBCACCDADADCD,EEEEAEEE,100000.0,AABEDADAEBEDBEBECECCDCEADED,001009811108001010111001101,555,555,555,555,555,555,555,555,555,555,555,43.1,23.3,12.5,39.5,48.0,40.0,50.0,31.0,35.0,30.0,49.7,50.0,48.3,25.0,70.0,50.0,D,D,C,A,A,B,A,D,E,A,C,A,D,D,B,E,C,A,C,E,A,A,A,A,51.0,A,A,A,A,B,C,B,E,E,I,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,2843,10005,10022,6,95579,1,3136702,31,3,22,M,2012,2013,2,1,1,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,BDCDAEDBCCCECEEBAADAEADDABC,BDCXXEDBXCCECEEBAAXAEADDABC,EAEABDAD,1100110.0,BDCBAEDCDBCECEEAEABAAADDCBC,111991109011111001910111011,555,555,555,555,555,555,555,555,555,555,555,66.3,54.4,50.0,61.0,87.0,75.0,90.0,35.0,55.0,30.0,70.3,73.9,50.0,60.0,30.0,60.0,C,C,B,B,B,C,A,D,D,A,A,A,D,D,B,B,D,B,A,B,A,A,A,A,31.0,B,A,B,A,B,D,C,A,A,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
